slug,title,name_zh_or_summary,category,supported_in,arguments,return_type,source_url,evidence_type,notes
arrayRepeatV1,Array repeat,Returns an array with the contents of array concatenated value times.,"[""Array""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Array"",""type"":""Expression<Array<T>>"",""description"":""Array to be repeated""},{""name"":""Value"",""type"":""Expression<Integer>"",""description"":""Number of times to concatenate 'array'""}]",Array<T>,https://palantir.com/docs/foundry/pb-functions-expression/arrayRepeatV1/,线索,"[""type_variable_bounds: T accepts AnyType"",""parse_warning: args_missing_but_heading_present""]"
arraySortByKeyV2,Array sort by struct key,Returns a sorted array of the given input array of structs sorted by the values of the given struct keys. Expression...,"[""Array""]","[""Batch"",""Streaming""]","[{""name"":""Input array"",""type"":""Expression<Array<Struct>>"",""description"":""Input array of structs to be sorted""},{""name"":""Sort keys"",""type"":""List<Tuple<StructLocator, Enum<Ascending, Descending>>>"",""description"":""Struct keys to sort array by in order of sort priority. Sort nested struct elements with multiple entries like ['author', 'age']""}]",Array<Struct>,https://palantir.com/docs/foundry/pb-functions-expression/arraySortByKeyV2/,线索,"[""parse_warning: args_missing_but_heading_present""]"
arraySliceV1,Slice array,Returns the array sliced from the first position to the second position. First position must be 1 or higher....,"[""Array""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Expression"",""type"":""Expression<Array<T>>"",""description"":""Array to slice""},{""name"":""Slice begins"",""type"":""Expression<Integer>"",""description"":""Array index start at 1, or from the end if start is negative. If this value is zero, expression will throw an error""},{""name"":""Slice length"",""type"":""Expression<Integer>"",""description"":""The length of the slice. If the slice length goes beyond the end of the array, the entire rest of the array will be returned""}]",Array<T>,https://palantir.com/docs/foundry/pb-functions-expression/arraySliceV1/,线索,"[""type_variable_bounds: T accepts AnyType"",""parse_warning: args_missing_but_heading_present""]"
GeocentricToGeodesicV1,Convert geocentric coordinates to WGS 84 geodesic coordinates,"Converts geocentric cartesian coordinates (also known as Earth-centered, Earth-fixed or ECEF coordinates) to...","[""Geospatial""]","[""Batch"",""Streaming""]","[{""name"":""X coordinate"",""type"":""Expression<Numeric>"",""description"":""X coordinate in the source coordinate system""},{""name"":""Y coordinate"",""type"":""Expression<Numeric>"",""description"":""Y coordinate in the source coordinate system""},{""name"":""Z coordinate"",""type"":""Expression<Numeric>"",""description"":""Z coordinate in the source coordinate system""}]",GeoPoint with altitude,https://palantir.com/docs/foundry/pb-functions-expression/GeocentricToGeodesicV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
arraySumV1,Sum of array elements,Sums the elements contained within the array.,"[""Array""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Expression"",""type"":""Expression<Array<T>> optional"",""description"":""An array of numeric types to be summed""},{""name"":""Treat null as zero"",""type"":""Literal<Boolean>"",""description"":""If true, nulls inside the array are treated as zero, and arrays containing null can be summed. If false, the presence of a null makes the entire array null""}]",T,https://palantir.com/docs/foundry/pb-functions-expression/arraySumV1/,线索,"[""type_variable_bounds: T accepts DefiniteNumeric"",""parse_warning: args_missing_but_heading_present""]"
arraySortV1,Array sort,Returns a sorted array of the given input array. All null values are placed at the end of a descending array...,"[""Array""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Direction"",""type"":""Enum<Ascending, Descending>"",""description"":""Choose sorting direction""},{""name"":""Expression"",""type"":""Expression<Array<T>>"",""description"":""Array to be sorted""}]",Array<T>,https://palantir.com/docs/foundry/pb-functions-expression/arraySortV1/,线索,"[""type_variable_bounds: T accepts ComparableType"",""parse_warning: args_missing_but_heading_present""]"
arrayUnionV1,Array union,Removes duplicates and unions a list of arrays.,"[""Array""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Expressions"",""type"":""List<Expression<Array<T>>>"",""description"":""A list of arrays to union""}]",Array<T>,https://palantir.com/docs/foundry/pb-functions-expression/arrayUnionV1/,线索,"[""type_variable_bounds: T accepts AnyType"",""parse_warning: args_missing_but_heading_present""]"
arraysHaveIntersectionV1,Arrays have intersection,Checks if given arrays have at least one shared element.,"[""Array"",""Boolean""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Expressions"",""type"":""List<Expression<Array<T>>>"",""description"":""List of arrays to check""}]",Boolean,https://palantir.com/docs/foundry/pb-functions-expression/arraysHaveIntersectionV1/,线索,"[""type_variable_bounds: T accepts AnyType"",""parse_warning: args_missing_but_heading_present""]"
arraysZipV1,Arrays zip,Zips a list of given arrays into a merged array of structs in which the n-th struct contains all n-th values...,"[""Array""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Expressions"",""type"":""List<Expression<Array<AnyType>>>"",""description"":""A list of arrays to zip""}]",Array<Struct>,https://palantir.com/docs/foundry/pb-functions-expression/arraysZipV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
audioTranscriptionV1,Transcribe audio into text,Transcribes an audio file into text.,"[""Media""]","[""Batch"",""Faster""]","[{""name"":""Media reference"",""type"":""Expression<Media reference> optional"",""description"":""The column containing media references to audio files in a media set""},{""name"":""Language"",""type"":""Enum<Afrikaans, Albanian, Amharic, Arabic, Armenian, Assamese, Azerbaijani, Bashkir, Basque, Belarusian, and more ...> optional"",""description"":""The language to detect in the input file. If no language is provided, it will be inferred from the first 30 seconds of audio""},{""name"":""Output mode"",""type"":""Enum<Simple, With errors> optional"",""description"":""Choose between simply returning the output or returning a struct, containing both the output and any errors""},{""name"":""Performance mode"",""type"":""Enum<More economical, More performant>"",""description"":""The performance mode to use when running transcription. If no mode is provided, we will default to the more economical option""}]","String | Struct<ok , error >",https://palantir.com/docs/foundry/pb-functions-expression/audioTranscriptionV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
arraysCartesianProductV1,Array cartesian product,Compute the cartesian product of arrays.,"[""Array""]","[""Batch"",""Streaming""]","[{""name"":""Expression"",""type"":""List<Expression<Array<AnyType>>>"",""description"":""Column to convert base""}]",Array<Struct>,https://palantir.com/docs/foundry/pb-functions-expression/arraysCartesianProductV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
base64DecodeV1,Base64 decode,Base64 decode the given expression.,"[""Binary"",""Cast""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Expression"",""type"":""Expression<String>"",""description"":""Expression to base64 decode""}]",Binary,https://palantir.com/docs/foundry/pb-functions-expression/base64DecodeV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
bitShiftLeftV1,Bit shift left,Shift the given value a number of bits left.,"[""Binary""]","[""Batch"",""Streaming""]","[{""name"":""Expression"",""type"":""Expression<E>"",""description"":""The value to shift left""},{""name"":""Number of bits"",""type"":""Literal<Integer>"",""description"":""The number of bits to shift left by""}]",E,https://palantir.com/docs/foundry/pb-functions-expression/bitShiftLeftV1/,线索,"[""type_variable_bounds: E accepts Byte | Integer | Long | Short"",""parse_warning: args_missing_but_heading_present""]"
base64EncodeV1,Base64 encode,Base64 encode the given expression.,"[""Binary"",""Cast""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Expression"",""type"":""Expression<Binary | String>"",""description"":""String or binary expression to encode""}]",String,https://palantir.com/docs/foundry/pb-functions-expression/base64EncodeV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
bitShiftRightV1,Bit shift right,Shift the given value a number of bits right.,"[""Binary""]","[""Batch"",""Streaming""]","[{""name"":""Expression"",""type"":""Expression<E>"",""description"":""The value to shift right""},{""name"":""Number of bits"",""type"":""Literal<Integer>"",""description"":""The number of bits to shift right by""}]",E,https://palantir.com/docs/foundry/pb-functions-expression/bitShiftRightV1/,线索,"[""type_variable_bounds: E accepts Byte | Integer | Long | Short"",""parse_warning: args_missing_but_heading_present""]"
base64DecodeToStringV1,Base 64 decode to string,Base64 decode the given expression. Uses utf-8 encoding for binary.,"[""Binary"",""Cast"",""String""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Expression"",""type"":""Expression<Binary | String>"",""description"":""String or binary expression to decode from base64""}]",String,https://palantir.com/docs/foundry/pb-functions-expression/base64DecodeToStringV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
castV2,Cast,Cast expression to given type.,"[""Cast"",""Popular""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Expression"",""type"":""Expression<AnyType>"",""description"":""Expression to cast.""},{""name"":""Type"",""type"":""Type<C>"",""description"":""Type to cast to.""}]",C,https://palantir.com/docs/foundry/pb-functions-expression/castV2/,线索,"[""type_variable_bounds: C accepts AnyType"",""parse_warning: args_missing_but_heading_present""]"
caseV2,Case,Choose between different branches based on conditions.,"[""Popular""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Default"",""type"":""Expression<T> optional"",""description"":""This value is chosen if all branches evaluate to false""},{""name"":""Branches"",""type"":""List<Tuple<Expression<Boolean>, Expression<T>>>"",""description"":""Branches to evaluate before returning default value""}]",T,https://palantir.com/docs/foundry/pb-functions-expression/caseV2/,线索,"[""type_variable_bounds: T accepts AnyType"",""parse_warning: args_missing_but_heading_present""]"
cbacStringToGroupNamesV3,Parse classification string,"Returns the markings parsed from a given classification string. This output is formatted as a struct, where the...","[""Other""]","[""Batch"",""Streaming""]","[{""name"":""Expression"",""type"":""Expression<String>"",""description"":""A classification string""}]","Struct<markingIds <Classification>, errors >",https://palantir.com/docs/foundry/pb-functions-expression/cbacStringToGroupNamesV3/,线索,"[""parse_warning: args_missing_but_heading_present""]"
changeTimestampTimeZoneV1,Change timestamp time zone,Changes the time zone of a timestamp.,"[""Datetime""]","[""Batch"",""Faster""]","[{""name"":""Output time zone"",""type"":""TimeZone"",""description"":""Target time zone.""},{""name"":""Timestamp"",""type"":""Expression<Timestamp> optional"",""description"":""Timestamp column""},{""name"":""Input time zone"",""type"":""Expression<String>"",""description"":""Time zone that the current timestamp is recorded in""}]",Timestamp,https://palantir.com/docs/foundry/pb-functions-expression/changeTimestampTimeZoneV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
ceilV1,Ceil,Returns ceil of a given fractional value.,"[""Numeric""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Expression"",""type"":""Expression<Decimal | Double | Float>"",""description"":""Fractional input value""}]",Decimal | Long,https://palantir.com/docs/foundry/pb-functions-expression/ceilV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
chunkStringV1,Chunk string,Chunk string into chunks of a specified size and on specified separators.,"[""String""]","[""Batch"",""Streaming""]","[{""name"":""Expression"",""type"":""Expression<String> optional"",""description"":""The column containing the document text to chunk""},{""name"":""Chunk overlap"",""type"":""Literal<Integer> optional"",""description"":""Allow chunks to overlap in content by around this number. Must be greater than or equal to 0 and less than the selected chunk size""},{""name"":""Chunk size"",""type"":""Literal<Integer> optional"",""description"":""Create chunks of size around this number. Must be greater than 0""},{""name"":""Keep separator"",""type"":""Literal<Boolean> optional"",""description"":""Include the separator in the output chunks""},{""name"":""Separators"",""type"":""List<Literal<String>>"",""description"":""Chunk string on these provided separators. The default separators has the effect of trying to keep all paragraphs, and then sentences, and then words together for as long as possible""}]",Array<String>,https://palantir.com/docs/foundry/pb-functions-expression/chunkStringV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
cipherDecryptV1,Cipher decrypt,Decrypts expression with cipher.,"[""Other""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Cipher license rid"",""type"":""ResourceIdentifier"",""description"":""Cipher license to use.""},{""name"":""Expression"",""type"":""Expression<String>"",""description"":""Expression to apply cipher decryption on""}]",String,https://palantir.com/docs/foundry/pb-functions-expression/cipherDecryptV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
cipherHashV1,Cipher hash,Hashes expression with cipher.,"[""Other""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Cipher license rid"",""type"":""ResourceIdentifier"",""description"":""Cipher license to use.""},{""name"":""Expression"",""type"":""Expression<String>"",""description"":""Expression to apply cipher hashing on""}]",Cipher Text,https://palantir.com/docs/foundry/pb-functions-expression/cipherHashV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
cipherEncryptV1,Cipher encrypt,Encrypts expression with cipher.,"[""Other""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Cipher license rid"",""type"":""ResourceIdentifier"",""description"":""Cipher license to use.""},{""name"":""Expression"",""type"":""Expression<String>"",""description"":""Expression to apply cipher encryption on""}]",Cipher Text,https://palantir.com/docs/foundry/pb-functions-expression/cipherEncryptV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
cleanStringV1,Clean string,Applies the set of clean actions on the expression.,"[""Data preparation"",""String""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Clean actions"",""type"":""Set<Enum<Normalize whitespace, Nullify empty, Trim>>"",""description"":""Set of actions to be applied.""},{""name"":""Expression"",""type"":""Expression<String>"",""description"":""String to be cleaned.""}]",String,https://palantir.com/docs/foundry/pb-functions-expression/cleanStringV1/,线索,"[""parse_warning: args_missing_but_heading_present""]"
collectArrayV1,Collect array,Collects an array of values within each group. Null values are ignored.,"[""Aggregate""]","[""Batch"",""Faster"",""Streaming""]","[{""name"":""Expression"",""type"":""Expression<T>"",""description"":""The column of values to collect into an array""}]",Array<T>,https://palantir.com/docs/foundry/pb-functions-expression/collectArrayV1/,线索,"[""type_variable_bounds: T accepts AnyType"",""parse_warning: args_missing_but_heading_present""]"
